time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;SmartMeter-House-1: Wh-energy.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.plan.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: W-power.plan.real.c.ELECTRICITY;Heatpump-House-1: W-power.real.c.HEAT;Heatpump-House-1: W-power.plan.real.c.HEAT;Heatpump-House-1: W-heat.supply.dhwtaps;Heatpump-House-1: W-heat.supply.zones;Heatpump-House-1: W-heat.production;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: W-power.plan.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.HEAT;DomesticHotWaterControllerBoiler-House-1: W-power.plan.real.c.HEAT;DomesticHotWaterControllerBoiler-House-1: W-heat.supply.dhwtaps;DomesticHotWaterControllerBoiler-House-1: W-heat.supply.zones;DomesticHotWaterControllerBoiler-House-1: W-heat.production;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc;PV-House-1: W-power.real.c.ELECTRICITY;PV-House-1: W-power.plan.real.c.ELECTRICITY
0;1326.0;22.1;202.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-2148.3001959643725;4499.999999999999;0.0;-2148.3001959643725;4499.999999999999;25000.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
60;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-2482.5109026371765;4499.999999999999;0.0;-2482.5109026371765;4499.999999999999;25039.194996733928;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
120;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-2840.9216680718523;4499.999999999999;0.0;-2840.9216680718523;4499.999999999999;25072.819815023307;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
180;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-3220.608223508486;4499.999999999999;0.0;-3220.608223508486;4499.999999999999;25100.471120555445;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
240;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-3624.8018171526546;4499.999999999999;0.0;-3624.8018171526546;4499.999999999999;25121.794316830303;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
300;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4055.00088611756;4499.999999999999;0.0;-4055.00088611756;4499.999999999999;25136.380953211094;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
360;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
420;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
480;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
540;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
600;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
660;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
720;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
780;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
840;1259.0;20.983333333333334;135.0;159.88333333333333;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
900;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
960;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1020;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1080;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1140;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1200;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1260;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1320;1259.0;20.983333333333334;135.0;179.12083333333334;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
