time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;SmartMeter-House-8: Wh-energy.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.plan.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.plan.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Battery-House-8: W-power.real.secondary;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: W-power.plan.real.c.ELECTRICITY;Heatpump-House-8: W-power.real.c.HEAT;Heatpump-House-8: W-power.plan.real.c.HEAT;Heatpump-House-8: W-heat.supply.dhwtaps;Heatpump-House-8: W-heat.supply.zones;Heatpump-House-8: W-heat.production;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.plan.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.HEAT;DomesticHotWaterControllerBoiler-House-8: W-power.plan.real.c.HEAT;DomesticHotWaterControllerBoiler-House-8: W-heat.supply.dhwtaps;DomesticHotWaterControllerBoiler-House-8: W-heat.supply.zones;DomesticHotWaterControllerBoiler-House-8: W-heat.production;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;PV-House-8: W-power.plan.real.c.ELECTRICITY
0;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2000.0;0;875.2231866081221;875.2231866081221;-2154.101807462211;3500.8927464324884;0.0;-2154.101807462211;3500.8927464324884;25000.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
60;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2004.2833333333333;0;875.2231866081221;875.2231866081221;-2491.5592331089647;3500.8927464324884;0.0;-2491.5592331089647;3500.8927464324884;25022.446515649506;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
120;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2008.5666666666666;0;875.2231866081221;875.2231866081221;-2850.0679547676696;3500.8927464324884;0.0;-2850.0679547676696;3500.8927464324884;25039.268740871565;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
180;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2012.85;0;875.2231866081221;875.2231866081221;-3230.8548688906626;3500.8927464324884;0.0;-3230.8548688906626;3500.8927464324884;25050.115820732644;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
240;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2017.1333333333332;0;875.2231866081221;875.2231866081221;-3635.218014809683;3500.8927464324884;0.0;-3635.218014809683;3500.8927464324884;25054.61645202501;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
300;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2021.4166666666665;0;875.2231866081221;875.2231866081221;-4064.5306984039844;3500.8927464324884;0.0;-4064.5306984039844;3500.8927464324884;25052.377697552056;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
360;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2025.6999999999998;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;25042.983731685865;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
420;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2029.9833333333331;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;25026.331944126407;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
480;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2034.2666666666664;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;25009.68015656695;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
540;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2038.5499999999997;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24993.02836900749;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
600;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2042.833333333333;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24976.376581448032;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
660;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2047.1166666666663;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24959.724793888574;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
720;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2051.3999999999996;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24943.073006329116;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
780;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2055.683333333333;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24926.421218769658;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
840;1272.0;21.2;140.0;152.90625;0.0;0.0;257.0;244.0478403159068;2059.9666666666662;0;875.2231866081221;875.2231866081221;-4500.0;3500.8927464324884;0.0;-4500.0;3500.8927464324884;24909.7694312102;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
900;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2064.2499999999995;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24893.11764365074;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
960;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2068.6499999999996;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24875.175464424618;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1020;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2073.0499999999997;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24857.233285198494;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1080;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2077.45;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24839.29110597237;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1140;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2081.85;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24821.348926746246;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1200;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2086.25;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24803.406747520123;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1260;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2090.65;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24785.464568294;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1320;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2095.05;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24767.522389067875;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1380;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2099.4500000000003;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24749.58020984175;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1440;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2103.8500000000004;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24731.638030615628;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1500;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2108.2500000000005;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24713.695851389504;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1560;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2112.6500000000005;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24695.75367216338;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1620;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2117.0500000000006;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24677.811492937257;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1680;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2121.4500000000007;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24659.869313711133;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1740;1259.0;20.983333333333334;140.0;169.92291666666665;0.0;0.0;264.0;234.07663198257342;2125.850000000001;0;855.8673116081228;855.8673116081228;-4500.0;3423.469246432491;0.0;-4500.0;3423.469246432491;24641.92713448501;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1800;1209.0;20.15;140.0;201.4041666666667;0.0;0.0;268.0;206.28446531590635;2130.250000000001;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24623.984955258886;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1860;1209.0;20.15;140.0;201.4041666666667;0.0;0.0;268.0;206.28446531590635;2134.7166666666676;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24602.446142699428;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1920;1209.0;20.15;191.0;201.4041666666667;0.0;0.0;217.0;206.28446531590635;2139.1833333333343;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24580.90733013997;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
1980;1209.0;20.15;191.0;201.4041666666667;0.0;0.0;217.0;206.28446531590635;2142.800000000001;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24559.36851758051;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2040;1209.0;20.15;191.0;201.4041666666667;0.0;0.0;217.0;206.28446531590635;2146.416666666668;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24537.829705021053;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2100;1209.0;20.15;191.0;201.4041666666667;0.0;0.0;217.0;206.28446531590635;2150.0333333333347;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24516.290892461595;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2160;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2153.6500000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24494.752079902137;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2220;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2156.4000000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24473.21326734268;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2280;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2159.1500000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24451.67445478322;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2340;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2161.9000000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24430.135642223762;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2400;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2164.6500000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24408.596829664304;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2460;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2167.4000000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24387.058017104846;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2520;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2170.1500000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24365.519204545388;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2580;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2172.9000000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24343.98039198593;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2640;1209.0;20.15;243.0;201.4041666666667;0.0;0.0;165.0;206.28446531590635;2175.6500000000015;0;801.9178116081222;801.9178116081222;-4500.0;3207.6712464324887;0.0;-4500.0;3207.6712464324887;24322.44157942647;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2700;1381.0;23.016666666666666;192.0;142.16666666666669;0.0;0.0;235.0;284.8598819825738;2178.4000000000015;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24300.902766867013;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2760;1381.0;23.016666666666666;192.0;142.16666666666669;0.0;0.0;235.0;284.8598819825738;2182.316666666668;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24289.532537640887;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2820;1381.0;23.016666666666666;192.0;142.16666666666669;0.0;0.0;235.0;284.8598819825738;2186.2333333333345;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24278.16230841476;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2880;1381.0;23.016666666666666;192.0;142.16666666666669;0.0;0.0;235.0;284.8598819825738;2190.150000000001;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24266.792079188635;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
2940;1381.0;23.016666666666666;192.0;142.16666666666669;0.0;0.0;235.0;284.8598819825738;2194.0666666666675;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24255.42184996251;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3000;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2197.983333333334;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24244.051620736383;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
