time;Load-House-0: W-power.real.c.ELECTRICITY;Load-House-0: W-power.plan.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.plan.real.c.ELECTRICITY
0;136.0;175.47916666666669;202.0;159.88333333333333
60;136.0;175.47916666666669;135.0;159.88333333333333
120;136.0;175.47916666666669;135.0;159.88333333333333
180;136.0;175.47916666666669;135.0;159.88333333333333
240;136.0;175.47916666666669;135.0;159.88333333333333
300;136.0;175.47916666666669;135.0;159.88333333333333
360;136.0;175.47916666666669;135.0;159.88333333333333
420;136.0;175.47916666666669;135.0;159.88333333333333
480;136.0;175.47916666666669;135.0;159.88333333333333
540;136.0;175.47916666666669;135.0;159.88333333333333
600;136.0;175.47916666666669;135.0;159.88333333333333
660;136.0;175.47916666666669;135.0;159.88333333333333
720;136.0;175.47916666666669;135.0;159.88333333333333
780;136.0;175.47916666666669;135.0;159.88333333333333
840;136.0;175.47916666666669;135.0;159.88333333333333
900;136.0;175.12083333333334;135.0;179.12083333333334
960;136.0;175.12083333333334;135.0;179.12083333333334
1020;136.0;175.12083333333334;135.0;179.12083333333334
1080;136.0;175.12083333333334;135.0;179.12083333333334
1140;136.0;175.12083333333334;135.0;179.12083333333334
1200;136.0;175.12083333333334;135.0;179.12083333333334
1260;136.0;175.12083333333334;135.0;179.12083333333334
1320;136.0;175.12083333333334;135.0;179.12083333333334
1380;136.0;175.12083333333334;135.0;179.12083333333334
1440;136.0;175.12083333333334;135.0;179.12083333333334
1500;136.0;175.12083333333334;135.0;179.12083333333334
1560;136.0;175.12083333333334;135.0;179.12083333333334
1620;136.0;175.12083333333334;135.0;179.12083333333334
1680;136.0;175.12083333333334;135.0;179.12083333333334
1740;136.0;175.12083333333334;135.0;179.12083333333334
1800;136.0;153.025;135.0;186.4375
1860;136.0;153.025;135.0;186.4375
1920;136.0;153.025;135.0;186.4375
1980;136.0;153.025;135.0;186.4375
2040;186.0;153.025;135.0;186.4375
2100;250.0;153.025;135.0;186.4375
2160;250.0;153.025;135.0;186.4375
2220;250.0;153.025;135.0;186.4375
2280;250.0;153.025;135.0;186.4375
2340;250.0;153.025;199.0;186.4375
2400;250.0;153.025;199.0;186.4375
2460;250.0;153.025;199.0;186.4375
2520;250.0;153.025;199.0;186.4375
2580;250.0;153.025;199.0;186.4375
2640;250.0;153.025;199.0;186.4375
2700;250.0;171.42916666666667;266.0;149.32708333333335
2760;250.0;171.42916666666667;266.0;149.32708333333335
2820;200.0;171.42916666666667;266.0;149.32708333333335
2880;136.0;171.42916666666667;266.0;149.32708333333335
2940;136.0;171.42916666666667;266.0;149.32708333333335
3000;136.0;171.42916666666667;266.0;149.32708333333335
3060;136.0;171.42916666666667;202.0;149.32708333333335
3120;136.0;171.42916666666667;202.0;149.32708333333335
3180;136.0;171.42916666666667;202.0;149.32708333333335
3240;136.0;171.42916666666667;202.0;149.32708333333335
3300;136.0;171.42916666666667;202.0;149.32708333333335
3360;136.0;171.42916666666667;202.0;149.32708333333335
3420;136.0;171.42916666666667;202.0;149.32708333333335
3480;136.0;171.42916666666667;202.0;149.32708333333335
3540;136.0;171.42916666666667;202.0;149.32708333333335
3600;136.0;165.64583333333331;202.0;162.25208333333336
3660;136.0;165.64583333333331;202.0;162.25208333333336
3720;136.0;165.64583333333331;202.0;162.25208333333336
3780;136.0;165.64583333333331;135.0;162.25208333333336
3840;136.0;165.64583333333331;135.0;162.25208333333336
3900;136.0;165.64583333333331;135.0;162.25208333333336
3960;136.0;165.64583333333331;135.0;162.25208333333336
4020;136.0;165.64583333333331;135.0;162.25208333333336
4080;136.0;165.64583333333331;135.0;162.25208333333336
4140;136.0;165.64583333333331;135.0;162.25208333333336
4200;136.0;165.64583333333331;135.0;162.25208333333336
4260;136.0;165.64583333333331;135.0;162.25208333333336
4320;136.0;165.64583333333331;135.0;162.25208333333336
4380;136.0;165.64583333333331;135.0;162.25208333333336
4440;136.0;165.64583333333331;135.0;162.25208333333336
4500;136.0;163.87083333333334;135.0;188.71041666666667
4560;136.0;163.87083333333334;135.0;188.71041666666667
4620;136.0;163.87083333333334;135.0;188.71041666666667
4680;136.0;163.87083333333334;135.0;188.71041666666667
4740;136.0;163.87083333333334;135.0;188.71041666666667
4800;136.0;163.87083333333334;135.0;188.71041666666667
4860;136.0;163.87083333333334;135.0;188.71041666666667
4920;136.0;163.87083333333334;135.0;188.71041666666667
4980;136.0;163.87083333333334;135.0;188.71041666666667
5040;136.0;163.87083333333334;135.0;188.71041666666667
5100;186.0;163.87083333333334;135.0;188.71041666666667
5160;186.0;163.87083333333334;135.0;188.71041666666667
5220;186.0;163.87083333333334;135.0;188.71041666666667
5280;250.0;163.87083333333334;135.0;188.71041666666667
5340;250.0;163.87083333333334;135.0;188.71041666666667
5400;250.0;158.34583333333333;135.0;169.35625
5460;250.0;158.34583333333333;199.0;169.35625
5520;250.0;158.34583333333333;199.0;169.35625
5580;250.0;158.34583333333333;199.0;169.35625
5640;250.0;158.34583333333333;199.0;169.35625
5700;250.0;158.34583333333333;199.0;169.35625
5760;250.0;158.34583333333333;199.0;169.35625
5820;250.0;158.34583333333333;199.0;169.35625
5880;200.0;158.34583333333333;199.0;169.35625
5940;200.0;158.34583333333333;199.0;169.35625
6000;200.0;158.34583333333333;199.0;169.35625
6060;136.0;158.34583333333333;199.0;169.35625
6120;136.0;158.34583333333333;199.0;169.35625
6180;136.0;158.34583333333333;135.0;169.35625
6240;136.0;158.34583333333333;135.0;169.35625
6300;136.0;167.825;135.0;154.52708333333334
6360;136.0;167.825;135.0;154.52708333333334
6420;136.0;167.825;202.0;154.52708333333334
6480;136.0;167.825;202.0;154.52708333333334
6540;136.0;167.825;202.0;154.52708333333334
6600;136.0;167.825;202.0;154.52708333333334
6660;136.0;167.825;202.0;154.52708333333334
6720;136.0;167.825;202.0;154.52708333333334
6780;136.0;167.825;202.0;154.52708333333334
6840;136.0;167.825;202.0;154.52708333333334
6900;136.0;167.825;202.0;154.52708333333334
6960;136.0;167.825;202.0;154.52708333333334
7020;136.0;167.825;202.0;154.52708333333334
7080;136.0;167.825;202.0;154.52708333333334
7140;136.0;167.825;202.0;154.52708333333334
7200;136.0;170.0291666666667;202.0;170.43541666666667
7260;136.0;170.0291666666667;202.0;170.43541666666667
7320;136.0;170.0291666666667;202.0;170.43541666666667
7380;136.0;170.0291666666667;202.0;170.43541666666667
7440;136.0;170.0291666666667;202.0;170.43541666666667
7500;136.0;170.0291666666667;135.0;170.43541666666667
7560;136.0;170.0291666666667;135.0;170.43541666666667
7620;136.0;170.0291666666667;135.0;170.43541666666667
7680;136.0;170.0291666666667;135.0;170.43541666666667
7740;136.0;170.0291666666667;135.0;170.43541666666667
7800;136.0;170.0291666666667;135.0;170.43541666666667
7860;136.0;170.0291666666667;135.0;170.43541666666667
7920;136.0;170.0291666666667;135.0;170.43541666666667
7980;136.0;170.0291666666667;135.0;170.43541666666667
8040;136.0;170.0291666666667;135.0;170.43541666666667
8100;136.0;152.52916666666667;135.0;181.62708333333333
8160;186.0;152.52916666666667;135.0;181.62708333333333
8220;186.0;152.52916666666667;135.0;181.62708333333333
8280;186.0;152.52916666666667;135.0;181.62708333333333
8340;186.0;152.52916666666667;135.0;181.62708333333333
8400;186.0;152.52916666666667;135.0;181.62708333333333
8460;250.0;152.52916666666667;135.0;181.62708333333333
8520;250.0;152.52916666666667;135.0;181.62708333333333
8580;250.0;152.52916666666667;199.0;181.62708333333333
8640;250.0;152.52916666666667;199.0;181.62708333333333
8700;250.0;152.52916666666667;199.0;181.62708333333333
8760;250.0;152.52916666666667;199.0;181.62708333333333
8820;250.0;152.52916666666667;199.0;181.62708333333333
8880;250.0;152.52916666666667;199.0;181.62708333333333
8940;200.0;152.52916666666667;199.0;181.62708333333333
9000;200.0;171.67083333333335;199.0;164.65625
9060;200.0;171.67083333333335;199.0;164.65625
9120;200.0;171.67083333333335;199.0;164.65625
9180;200.0;171.67083333333335;199.0;164.65625
9240;136.0;171.67083333333335;199.0;164.65625
9300;136.0;171.67083333333335;135.0;164.65625
9360;136.0;171.67083333333335;135.0;164.65625
9420;136.0;171.67083333333335;135.0;164.65625
9480;136.0;171.67083333333335;135.0;164.65625
9540;136.0;171.67083333333335;135.0;164.65625
9600;136.0;171.67083333333335;135.0;164.65625
9660;136.0;171.67083333333335;135.0;164.65625
9720;136.0;171.67083333333335;135.0;164.65625
9780;136.0;171.67083333333335;135.0;164.65625
9840;136.0;171.67083333333335;135.0;164.65625
9900;136.0;169.1875;135.0;159.83541666666667
9960;136.0;169.1875;135.0;159.83541666666667
10020;136.0;169.1875;135.0;159.83541666666667
10080;136.0;169.1875;135.0;159.83541666666667
10140;136.0;169.1875;202.0;159.83541666666667
10200;136.0;169.1875;202.0;159.83541666666667
10260;136.0;169.1875;202.0;159.83541666666667
10320;136.0;169.1875;202.0;159.83541666666667
10380;136.0;169.1875;202.0;159.83541666666667
10440;136.0;169.1875;202.0;159.83541666666667
10500;136.0;169.1875;202.0;159.83541666666667
10560;136.0;169.1875;202.0;159.83541666666667
10620;136.0;169.1875;202.0;159.83541666666667
10680;136.0;169.1875;202.0;159.83541666666667
10740;136.0;169.1875;202.0;159.83541666666667
10800;136.0;162.14166666666668;202.0;183.23541666666665
10860;136.0;162.14166666666668;202.0;183.23541666666665
10920;136.0;162.14166666666668;202.0;183.23541666666665
10980;136.0;162.14166666666668;202.0;183.23541666666665
11040;136.0;162.14166666666668;202.0;183.23541666666665
11100;136.0;162.14166666666668;202.0;183.23541666666665
11160;136.0;162.14166666666668;202.0;183.23541666666665
11220;186.0;162.14166666666668;135.0;183.23541666666665
11280;186.0;162.14166666666668;135.0;183.23541666666665
11340;186.0;162.14166666666668;135.0;183.23541666666665
11400;186.0;162.14166666666668;135.0;183.23541666666665
11460;186.0;162.14166666666668;135.0;183.23541666666665
11520;186.0;162.14166666666668;135.0;183.23541666666665
11580;186.0;162.14166666666668;135.0;183.23541666666665
11640;250.0;162.14166666666668;135.0;183.23541666666665
11700;250.0;156.67083333333335;199.0;159.68541666666667
11760;250.0;156.67083333333335;199.0;159.68541666666667
11820;250.0;156.67083333333335;199.0;159.68541666666667
11880;250.0;156.67083333333335;199.0;159.68541666666667
11940;250.0;156.67083333333335;199.0;159.68541666666667
12000;200.0;156.67083333333335;199.0;159.68541666666667
12060;200.0;156.67083333333335;199.0;159.68541666666667
12120;200.0;156.67083333333335;199.0;159.68541666666667
12180;200.0;156.67083333333335;199.0;159.68541666666667
12240;200.0;156.67083333333335;199.0;159.68541666666667
12300;200.0;156.67083333333335;199.0;159.68541666666667
12360;200.0;156.67083333333335;199.0;159.68541666666667
12420;136.0;156.67083333333335;135.0;159.68541666666667
12480;136.0;156.67083333333335;135.0;159.68541666666667
12540;136.0;156.67083333333335;135.0;159.68541666666667
12600;136.0;171.48333333333335;135.0;172.21041666666665
12660;136.0;171.48333333333335;135.0;172.21041666666665
12720;136.0;171.48333333333335;135.0;172.21041666666665
12780;136.0;171.48333333333335;135.0;172.21041666666665
12840;136.0;171.48333333333335;135.0;172.21041666666665
12900;136.0;171.48333333333335;135.0;172.21041666666665
12960;136.0;171.48333333333335;135.0;172.21041666666665
13020;136.0;171.48333333333335;135.0;172.21041666666665
13080;136.0;171.48333333333335;135.0;172.21041666666665
13140;136.0;171.48333333333335;135.0;172.21041666666665
13200;136.0;171.48333333333335;135.0;172.21041666666665
13260;136.0;171.48333333333335;135.0;172.21041666666665
13320;136.0;171.48333333333335;135.0;172.21041666666665
13380;136.0;171.48333333333335;135.0;172.21041666666665
13440;136.0;171.48333333333335;135.0;172.21041666666665
13500;136.0;167.2166666666667;135.0;167.96875
13560;136.0;167.2166666666667;135.0;167.96875
13620;136.0;167.2166666666667;135.0;167.96875
13680;136.0;167.2166666666667;135.0;167.96875
13740;136.0;167.2166666666667;135.0;167.96875
13800;136.0;167.2166666666667;135.0;167.96875
13860;136.0;167.2166666666667;202.0;167.96875
13920;136.0;167.2166666666667;202.0;167.96875
13980;136.0;167.2166666666667;202.0;167.96875
14040;136.0;167.2166666666667;202.0;167.96875
14100;136.0;167.2166666666667;202.0;167.96875
14160;136.0;167.2166666666667;202.0;167.96875
14220;136.0;167.2166666666667;202.0;167.96875
14280;186.0;167.2166666666667;202.0;167.96875
14340;186.0;167.2166666666667;202.0;167.96875
14400;186.0;152.6583333333333;202.0;175.62291666666667
14460;186.0;152.6583333333333;202.0;175.62291666666667
14520;186.0;152.6583333333333;202.0;175.62291666666667
14580;186.0;152.6583333333333;202.0;175.62291666666667
14640;186.0;152.6583333333333;202.0;175.62291666666667
14700;186.0;152.6583333333333;202.0;175.62291666666667
14760;186.0;152.6583333333333;202.0;175.62291666666667
14820;250.0;152.6583333333333;266.0;175.62291666666667
14880;250.0;152.6583333333333;266.0;175.62291666666667
14940;250.0;152.6583333333333;199.0;175.62291666666667
15000;250.0;152.6583333333333;199.0;175.62291666666667
15060;200.0;152.6583333333333;199.0;175.62291666666667
15120;200.0;152.6583333333333;199.0;175.62291666666667
15180;200.0;152.6583333333333;199.0;175.62291666666667
15240;200.0;152.6583333333333;199.0;175.62291666666667
15300;200.0;170.35;199.0;153.88333333333333
15360;200.0;170.35;199.0;153.88333333333333
15420;200.0;170.35;199.0;153.88333333333333
15480;200.0;170.35;199.0;153.88333333333333
15540;200.0;170.35;135.0;153.88333333333333
15600;136.0;170.35;135.0;153.88333333333333
15660;136.0;170.35;135.0;153.88333333333333
15720;136.0;170.35;135.0;153.88333333333333
