time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;DishWasher-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;Load-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY
0;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;25000.0;-0.0;0.0
60;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;25022.446515649506;-0.0;0.0
120;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;25039.268740871565;-0.0;0.0
180;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;25050.115820732644;-0.0;0.0
240;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;25054.61645202501;-0.0;0.0
300;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;25052.377697552056;-0.0;0.0
360;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;25042.983731685865;-0.0;0.0
420;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;25026.331944126407;-0.0;0.0
480;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;25009.68015656695;-0.0;0.0
540;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;24993.02836900749;-0.0;0.0
600;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;24976.376581448032;-0.0;0.0
660;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;24959.724793888574;-0.0;0.0
720;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;24943.073006329116;-0.0;0.0
780;1272.0;-100;0;0.0;0.0;0.0;140.0;875.2231866081221;24926.421218769658;-0.0;0.0
840;1272.0;100;12000;0.0;0.0;0.0;140.0;875.2231866081221;24909.7694312102;-0.0;0.0
900;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24893.11764365074;-0.0;0.0
960;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24875.175464424618;-0.0;0.0
1020;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24857.233285198494;-0.0;0.0
1080;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24839.29110597237;-0.0;0.0
1140;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24821.348926746246;-0.0;0.0
1200;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24803.406747520123;-0.0;0.0
1260;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24785.464568294;-0.0;0.0
1320;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24767.522389067875;-0.0;0.0
1380;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24749.58020984175;-0.0;0.0
1440;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24731.638030615628;-0.0;0.0
1500;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24713.695851389504;-0.0;0.0
1560;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24695.75367216338;-0.0;0.0
1620;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24677.811492937257;-0.0;0.0
1680;1259.0;100;12000;0.0;0.0;0.0;140.0;855.8673116081228;24659.869313711133;-0.0;0.0
1740;1259.0;-100;0;0.0;0.0;0.0;140.0;855.8673116081228;24641.92713448501;-0.0;0.0
1800;1209.0;100;12000;0.0;0.0;0.0;140.0;801.9178116081222;24623.984955258886;-0.0;0.0
1860;1209.0;-100;0;0.0;0.0;0.0;140.0;801.9178116081222;24602.446142699428;-0.0;0.0
1920;1209.0;100;12000;0.0;0.0;0.0;191.0;801.9178116081222;24580.90733013997;-0.0;0.0
