time;W-power.real.c.NATGAS;W-power.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
0;2646.8938858827264;-2117.5151087061813;0.0;-2117.5151087061813;2117.5151087061813;25000.0
60;3052.166430884004;-2441.7331447072033;0.0;-2441.7331447072033;2441.7331447072033;25000.0
120;3491.7434779946293;-2793.3947823957037;0.0;-2793.3947823957037;2793.3947823957037;25000.0
180;3958.637659393047;-3166.910127514438;0.0;-3166.910127514438;3166.910127514438;25000.0
240;4454.440613730191;-3563.5524909841533;0.0;-3563.5524909841533;3563.5524909841533;25000.0
300;4980.836270526571;-3984.669016421257;0.0;-3984.669016421257;3984.669016421257;25000.0
360;5539.6061996341;-4431.6849597072805;0.0;-4431.6849597072805;4431.6849597072805;25000.0
420;6132.635270762487;-4906.10821660999;0.0;-4906.10821660999;4906.10821660999;25000.0
480;6761.917641039839;-5409.534112831871;0.0;-5409.534112831871;5409.534112831871;25000.0
540;7405.774027120471;-5924.619221696377;0.0;-5924.619221696377;5924.619221696377;25000.0
600;8108.84858008175;-6487.0788640654;0.0;-6487.0788640654;6487.0788640654;25000.0
660;8862.678495207201;-7090.142796165761;0.0;-7090.142796165761;7090.142796165761;25000.0
720;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
780;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
840;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
900;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
960;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1020;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1080;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1140;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1200;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1260;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1320;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1380;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1440;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1500;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1560;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1620;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1680;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1740;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1800;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1860;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1920;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
1980;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2040;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2100;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2160;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2220;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2280;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2340;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2400;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2460;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2520;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2580;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2640;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2700;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2760;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2820;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
2880;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
