time;W-power.real.c.ELECTRICITY;W-power.plan.real.c.ELECTRICITY
0;202.0;159.88333333333333
60;135.0;159.88333333333333
120;135.0;159.88333333333333
180;135.0;159.88333333333333
240;135.0;159.88333333333333
300;135.0;159.88333333333333
360;135.0;159.88333333333333
420;135.0;159.88333333333333
480;135.0;159.88333333333333
540;135.0;159.88333333333333
600;135.0;159.88333333333333
660;135.0;159.88333333333333
720;135.0;159.88333333333333
780;135.0;159.88333333333333
840;135.0;159.88333333333333
900;135.0;179.12083333333334
960;135.0;179.12083333333334
1020;135.0;179.12083333333334
1080;135.0;179.12083333333334
1140;135.0;179.12083333333334
1200;135.0;179.12083333333334
1260;135.0;179.12083333333334
1320;135.0;179.12083333333334
1380;135.0;179.12083333333334
1440;135.0;179.12083333333334
1500;135.0;179.12083333333334
1560;135.0;179.12083333333334
1620;135.0;179.12083333333334
1680;135.0;179.12083333333334
1740;135.0;179.12083333333334
1800;135.0;186.4375
1860;135.0;186.4375
1920;135.0;186.4375
1980;135.0;186.4375
2040;135.0;186.4375
2100;135.0;186.4375
2160;135.0;186.4375
2220;135.0;186.4375
2280;135.0;186.4375
2340;199.0;186.4375
2400;199.0;186.4375
2460;199.0;186.4375
2520;199.0;186.4375
2580;199.0;186.4375
2640;199.0;186.4375
2700;266.0;149.32708333333335
2760;266.0;149.32708333333335
2820;266.0;149.32708333333335
2880;266.0;149.32708333333335
2940;266.0;149.32708333333335
3000;266.0;149.32708333333335
3060;202.0;149.32708333333335
3120;202.0;149.32708333333335
3180;202.0;149.32708333333335
3240;202.0;149.32708333333335
3300;202.0;149.32708333333335
3360;202.0;149.32708333333335
3420;202.0;149.32708333333335
3480;202.0;149.32708333333335
3540;202.0;149.32708333333335
3600;202.0;162.25208333333336
3660;202.0;162.25208333333336
3720;202.0;162.25208333333336
3780;135.0;162.25208333333336
3840;135.0;162.25208333333336
3900;135.0;162.25208333333336
3960;135.0;162.25208333333336
4020;135.0;162.25208333333336
4080;135.0;162.25208333333336
4140;135.0;162.25208333333336
4200;135.0;162.25208333333336
4260;135.0;162.25208333333336
4320;135.0;162.25208333333336
4380;135.0;162.25208333333336
4440;135.0;162.25208333333336
4500;135.0;188.71041666666667
4560;135.0;188.71041666666667
4620;135.0;188.71041666666667
4680;135.0;188.71041666666667
4740;135.0;188.71041666666667
4800;135.0;188.71041666666667
4860;135.0;188.71041666666667
4920;135.0;188.71041666666667
4980;135.0;188.71041666666667
5040;135.0;188.71041666666667
5100;135.0;188.71041666666667
5160;135.0;188.71041666666667
5220;135.0;188.71041666666667
5280;135.0;188.71041666666667
5340;135.0;188.71041666666667
5400;135.0;169.35625
5460;199.0;169.35625
5520;199.0;169.35625
5580;199.0;169.35625
5640;199.0;169.35625
5700;199.0;169.35625
5760;199.0;169.35625
5820;199.0;169.35625
5880;199.0;169.35625
5940;199.0;169.35625
6000;199.0;169.35625
6060;199.0;169.35625
6120;199.0;169.35625
6180;135.0;169.35625
6240;135.0;169.35625
6300;135.0;154.52708333333334
6360;135.0;154.52708333333334
6420;202.0;154.52708333333334
6480;202.0;154.52708333333334
6540;202.0;154.52708333333334
6600;202.0;154.52708333333334
