time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc
0;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25000.0;0.0;0.0
60;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25039.194996733928;0.0;0.0
120;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25072.819815023307;0.0;0.0
180;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25100.471120555445;0.0;0.0
240;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25121.794316830303;0.0;0.0
300;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25136.380953211094;0.0;0.0
360;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
420;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
480;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
540;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
600;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
660;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
720;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
780;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
840;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
900;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
960;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1020;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1080;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1140;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1200;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1260;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1320;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1380;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1440;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1500;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1560;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1620;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1680;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1740;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1800;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1860;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1920;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
1980;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2040;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2100;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2160;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2220;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2280;1259.0;135.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2340;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2400;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2460;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2520;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2580;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2640;1323.0;199.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2700;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2760;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2820;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2880;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
2940;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3000;1390.0;266.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3060;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3120;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3180;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3240;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3300;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
3360;1326.0;202.0;0.0;0.0;0.0;50000.0;1124.9999999999998;25143.797605109135;0.0;0.0
