time;W-power.real.c.ELECTRICITY
0;2800.0
60;-21265.0
120;2733.0
180;-21265.0
240;2733.0
300;-21265.0
360;2733.0
420;-21265.0
480;2733.0
540;-21371.0
600;2627.0
660;-21371.0
720;2627.0
780;-21371.0
840;2627.0
900;-21384.0
960;2614.0
1020;-21384.0
1080;2614.0
1140;-21384.0
1200;2614.0
1260;-21384.0
1320;2614.0
1380;-21384.0
1440;2614.0
1500;-21384.0
1560;2614.0
1620;-21384.0
1680;2614.0
1740;-21384.0
1800;2564.0
1860;-21434.0
1920;2564.0
1980;-21434.0
2040;2564.0
2100;-21434.0
2160;2564.0
2220;-21434.0
2280;2564.0
2340;-21370.0
2400;2628.0
2460;-21370.0
2520;2628.0
2580;-21370.0
2640;2628.0
2700;-21131.0
2760;2867.0
2820;-21025.0
2880;2973.0
2940;-21025.0
3000;2973.0
3060;-21089.0
3120;2909.0
3180;-21089.0
3240;2909.0
3300;-21089.0
3360;2909.0
3420;-21089.0
3480;2909.0
3540;-21089.0
3600;2844.0
3660;-21154.0
3720;2844.0
3780;-21327.0
3840;2671.0
3900;-21327.0
3960;2671.0
4020;-21327.0
4080;2671.0
4140;-21327.0
4200;2671.0
4260;-21327.0
4320;2671.0
4380;-21327.0
4440;2671.0
4500;-21386.0
4560;2612.0
4620;-21386.0
4680;2612.0
4740;-21386.0
4800;2612.0
4860;-21386.0
4920;2612.0
4980;-21386.0
5040;2612.0
5100;-21386.0
5160;2612.0
5220;-21386.0
5280;2612.0
5340;-21386.0
5400;2629.0
5460;-21305.0
5520;2693.0
5580;-21305.0
5640;2693.0
5700;-21312.0
5760;2686.0
5820;-21312.0
5880;2686.0
5940;-21312.0
6000;2686.0
6060;-21206.0
6120;2792.0
6180;-21270.0
6240;2728.0
6300;-21171.0
6360;2827.0
6420;-21104.0
6480;2894.0
6540;-21104.0
6600;2894.0
6660;-21104.0
6720;2894.0
6780;-21104.0
6840;2894.0
6900;-21104.0
6960;2894.0
7020;-21210.0
7080;2788.0
7140;-21210.0
7200;2706.0
7260;-21292.0
7320;2706.0
7380;-21292.0
7440;2706.0
7500;-21359.0
7560;2639.0
7620;-21359.0
7680;2639.0
7740;-21359.0
7800;2639.0
7860;-21359.0
7920;2639.0
7980;-21359.0
8040;2639.0
8100;-21413.0
8160;2585.0
8220;-21413.0
8280;2585.0
8340;-21413.0
8400;2585.0
8460;-21413.0
8520;2585.0
8580;-21349.0
8640;2649.0
8700;-21349.0
8760;2649.0
8820;-21349.0
8880;2649.0
8940;-21349.0
9000;2717.0
9060;-21281.0
9120;2717.0
9180;-21281.0
9240;2717.0
9300;-21239.0
9360;2759.0
9420;-21239.0
9480;2759.0
9540;-21239.0
9600;2759.0
9660;-21239.0
9720;2759.0
9780;-21239.0
9840;2759.0
9900;-21186.0
9960;2812.0
10020;-21186.0
10080;2812.0
10140;-21119.0
10200;2879.0
10260;-21225.0
10320;2773.0
10380;-21225.0
10440;2773.0
10500;-21225.0
10560;2773.0
10620;-21225.0
