time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
0;1202.0;202.0;1000.0;0.0;10000.0
60;1202.0;202.0;1000.0;0.0;10000.0
120;1202.0;202.0;1000.0;0.0;10000.0
180;1202.0;202.0;1000.0;0.0;10000.0
240;1202.0;202.0;1000.0;0.0;10000.0
300;1202.0;202.0;1000.0;0.0;10000.0
360;1202.0;202.0;1000.0;0.0;10000.0
420;1202.0;202.0;1000.0;0.0;10000.0
480;1202.0;202.0;1000.0;0.0;10000.0
540;1096.0;96.0;1000.0;0.0;10000.0
600;1096.0;96.0;1000.0;0.0;10000.0
660;1096.0;96.0;1000.0;0.0;10000.0
720;1096.0;96.0;1000.0;0.0;10000.0
780;1096.0;96.0;1000.0;0.0;10000.0
840;1096.0;96.0;1000.0;0.0;10000.0
900;1096.0;96.0;1000.0;0.0;10000.0
960;1096.0;96.0;1000.0;0.0;10000.0
1020;1096.0;96.0;1000.0;0.0;10000.0
1080;1096.0;96.0;1000.0;0.0;10000.0
1140;1096.0;96.0;1000.0;0.0;10000.0
1200;1096.0;96.0;1000.0;0.0;10000.0
1260;1096.0;96.0;1000.0;0.0;10000.0
1320;1096.0;96.0;1000.0;0.0;10000.0
1380;1096.0;96.0;1000.0;0.0;10000.0
1440;1096.0;96.0;1000.0;0.0;10000.0
1500;1096.0;96.0;1000.0;0.0;10000.0
1560;1096.0;96.0;1000.0;0.0;10000.0
1620;1096.0;96.0;1000.0;0.0;10000.0
1680;1096.0;96.0;1000.0;0.0;10000.0
1740;1096.0;96.0;1000.0;0.0;10000.0
1800;1096.0;96.0;1000.0;0.0;10000.0
1860;1096.0;96.0;1000.0;0.0;10000.0
1920;1096.0;96.0;1000.0;0.0;10000.0
1980;1096.0;96.0;1000.0;0.0;10000.0
2040;1096.0;96.0;1000.0;0.0;10000.0
2100;1096.0;96.0;1000.0;0.0;10000.0
2160;1096.0;96.0;1000.0;0.0;10000.0
2220;1096.0;96.0;1000.0;0.0;10000.0
2280;1096.0;96.0;1000.0;0.0;10000.0
2340;1096.0;96.0;1000.0;0.0;10000.0
2400;1096.0;96.0;1000.0;0.0;10000.0
2460;1096.0;96.0;1000.0;0.0;10000.0
2520;1096.0;96.0;1000.0;0.0;10000.0
2580;1096.0;96.0;1000.0;0.0;10000.0
2640;1096.0;96.0;1000.0;0.0;10000.0
2700;1096.0;96.0;1000.0;0.0;10000.0
2760;1096.0;96.0;1000.0;0.0;10000.0
2820;1202.0;202.0;1000.0;0.0;10000.0
2880;1202.0;202.0;1000.0;0.0;10000.0
2940;1202.0;202.0;1000.0;0.0;10000.0
3000;1202.0;202.0;1000.0;0.0;10000.0
3060;1202.0;202.0;1000.0;0.0;10000.0
3120;1202.0;202.0;1000.0;0.0;10000.0
3180;1202.0;202.0;1000.0;0.0;10000.0
3240;1202.0;202.0;1000.0;0.0;10000.0
3300;1202.0;202.0;1000.0;0.0;10000.0
3360;1202.0;202.0;1000.0;0.0;10000.0
3420;1202.0;202.0;1000.0;0.0;10000.0
3480;1202.0;202.0;1000.0;0.0;10000.0
3540;1202.0;202.0;1000.0;0.0;10000.0
3600;1202.0;202.0;1000.0;0.0;10000.0
3660;1202.0;202.0;1000.0;0.0;10000.0
3720;1202.0;202.0;1000.0;0.0;10000.0
3780;1096.0;96.0;1000.0;0.0;10000.0
3840;1096.0;96.0;1000.0;0.0;10000.0
3900;1096.0;96.0;1000.0;0.0;10000.0
3960;1096.0;96.0;1000.0;0.0;10000.0
4020;1096.0;96.0;1000.0;0.0;10000.0
4080;1096.0;96.0;1000.0;0.0;10000.0
4140;1096.0;96.0;1000.0;0.0;10000.0
4200;1096.0;96.0;1000.0;0.0;10000.0
4260;1096.0;96.0;1000.0;0.0;10000.0
4320;1096.0;96.0;1000.0;0.0;10000.0
4380;1096.0;96.0;1000.0;0.0;10000.0
4440;1096.0;96.0;1000.0;0.0;10000.0
4500;1096.0;96.0;1000.0;0.0;10000.0
4560;1096.0;96.0;1000.0;0.0;10000.0
4620;1096.0;96.0;1000.0;0.0;10000.0
4680;1096.0;96.0;1000.0;0.0;10000.0
4740;1096.0;96.0;1000.0;0.0;10000.0
4800;1096.0;96.0;1000.0;0.0;10000.0
4860;1096.0;96.0;1000.0;0.0;10000.0
4920;1096.0;96.0;1000.0;0.0;10000.0
4980;1096.0;96.0;1000.0;0.0;10000.0
5040;1096.0;96.0;1000.0;0.0;10000.0
5100;1096.0;96.0;1000.0;0.0;10000.0
5160;1096.0;96.0;1000.0;0.0;10000.0
5220;1096.0;96.0;1000.0;0.0;10000.0
5280;1096.0;96.0;1000.0;0.0;10000.0
5340;1096.0;96.0;1000.0;0.0;10000.0
5400;1096.0;96.0;1000.0;0.0;10000.0
5460;1096.0;96.0;1000.0;0.0;10000.0
5520;1096.0;96.0;1000.0;0.0;10000.0
5580;1096.0;96.0;1000.0;0.0;10000.0
5640;1096.0;96.0;1000.0;0.0;10000.0
5700;1096.0;96.0;1000.0;0.0;10000.0
5760;1096.0;96.0;1000.0;0.0;10000.0
5820;1096.0;96.0;1000.0;0.0;10000.0
5880;1096.0;96.0;1000.0;0.0;10000.0
5940;1096.0;96.0;1000.0;0.0;10000.0
6000;1096.0;96.0;1000.0;0.0;10000.0
6060;1202.0;202.0;1000.0;0.0;10000.0
6120;1202.0;202.0;1000.0;0.0;10000.0
6180;1202.0;202.0;1000.0;0.0;10000.0
6240;1202.0;202.0;1000.0;0.0;10000.0
6300;1202.0;202.0;1000.0;0.0;10000.0
6360;1202.0;202.0;1000.0;0.0;10000.0
6420;1202.0;202.0;1000.0;0.0;10000.0
6480;1202.0;202.0;1000.0;0.0;10000.0
6540;1202.0;202.0;1000.0;0.0;10000.0
6600;1202.0;202.0;1000.0;0.0;10000.0
6660;1202.0;202.0;1000.0;0.0;10000.0
6720;1202.0;202.0;1000.0;0.0;10000.0
6780;1202.0;202.0;1000.0;0.0;10000.0
6840;1202.0;202.0;1000.0;0.0;10000.0
6900;1202.0;202.0;1000.0;0.0;10000.0
6960;1202.0;202.0;1000.0;0.0;10000.0
7020;1096.0;96.0;1000.0;0.0;10000.0
7080;1096.0;96.0;1000.0;0.0;10000.0
7140;1096.0;96.0;1000.0;0.0;10000.0
7200;1096.0;96.0;1000.0;0.0;10000.0
7260;1096.0;96.0;1000.0;0.0;10000.0
7320;1096.0;96.0;1000.0;0.0;10000.0
7380;1096.0;96.0;1000.0;0.0;10000.0
7440;1096.0;96.0;1000.0;0.0;10000.0
7500;1096.0;96.0;1000.0;0.0;10000.0
7560;1096.0;96.0;1000.0;0.0;10000.0
7620;1096.0;96.0;1000.0;0.0;10000.0
7680;1096.0;96.0;1000.0;0.0;10000.0
7740;1096.0;96.0;1000.0;0.0;10000.0
7800;1096.0;96.0;1000.0;0.0;10000.0
7860;1096.0;96.0;1000.0;0.0;10000.0
7920;1096.0;96.0;1000.0;0.0;10000.0
7980;1096.0;96.0;1000.0;0.0;10000.0
8040;1096.0;96.0;1000.0;0.0;10000.0
8100;1096.0;96.0;1000.0;0.0;10000.0
8160;1096.0;96.0;1000.0;0.0;10000.0
8220;1096.0;96.0;1000.0;0.0;10000.0
8280;1096.0;96.0;1000.0;0.0;10000.0
8340;1096.0;96.0;1000.0;0.0;10000.0
8400;1096.0;96.0;1000.0;0.0;10000.0
8460;1096.0;96.0;1000.0;0.0;10000.0
8520;1096.0;96.0;1000.0;0.0;10000.0
8580;1096.0;96.0;1000.0;0.0;10000.0
8640;1096.0;96.0;1000.0;0.0;10000.0
8700;1096.0;96.0;1000.0;0.0;10000.0
8760;1096.0;96.0;1000.0;0.0;10000.0
8820;1096.0;96.0;1000.0;0.0;10000.0
8880;1096.0;96.0;1000.0;0.0;10000.0
8940;1096.0;96.0;1000.0;0.0;10000.0
9000;1096.0;96.0;1000.0;0.0;10000.0
9060;1096.0;96.0;1000.0;0.0;10000.0
9120;1096.0;96.0;1000.0;0.0;10000.0
9180;1096.0;96.0;1000.0;0.0;10000.0
9240;1096.0;96.0;1000.0;0.0;10000.0
9300;1202.0;202.0;1000.0;0.0;10000.0
9360;1202.0;202.0;1000.0;0.0;10000.0
9420;1202.0;202.0;1000.0;0.0;10000.0
9480;1202.0;202.0;1000.0;0.0;10000.0
9540;1202.0;202.0;1000.0;0.0;10000.0
9600;1202.0;202.0;1000.0;0.0;10000.0
9660;1202.0;202.0;1000.0;0.0;10000.0
9720;1202.0;202.0;1000.0;0.0;10000.0
9780;1202.0;202.0;1000.0;0.0;10000.0
